Vertices  Edges 	-> 	Runtime(ms)

10		25		-->		0.00
100		3700		-->		0.00
500		50000		-->		1.00
500		100000		-->		1.00
1000		250000		-->		4.00
1000		480000		-->		16.00
1500		700000		-->		147.00
1500		1000000		-->		80.00
2000		1000000		-->		45.00
3000		2000000		-->		145.00
7500		1500000		-->		123.00
7500		2000000		-->		234.00
10000		1000000		-->		99.00
